BHK,Price,registration_charges,localities,super_built_up_area,carpet_area,price_per_sqft,bathroom,balconies,status,additional_room,transaction_type,floorNum,funrished_status,address,facing,projectName,Area_sqft,Property_Type,regions,price_in_inr
4.0,₹2.5 Cr,Not specified,Amrapali Dream Valley,1690.0,1387,14792.0,5.0,0.0,Ready to move,None,Resale,Not specified,Furnished,Amrapali Dream Valley,East,UNKNOWN,1690.0,Villa,Noida,25000000.0
2.0,₹75 Lac,Not specified,Noida Extension,1100.0,903,6818.0,2.0,2.0,Ready to move,None,Resale,14,Unfurnished,A6-1401.,Not Specified,Amrapali Golf Homes,1100.0,Multistorey Apartment,Noida,7500000.0
2.0,₹62 Lac,Not specified,Eta 2,860.0,706,7209.0,2.0,0.0,Ready to move,None,Resale,4,Unfurnished,Eta 2,Not Specified,Migsun Vilaasa,860.0,Multistorey Apartment,Noida,6200000.0
3.0,₹48 Lac,Not specified,Tilpata Karanwas,1600.0,1530,3000.0,3.0,0.0,Ready to move,Study Room,Resale,Not specified,Semi-Furnished,Tilpata karanwas Dadari road Greater Noida,South - East,UNKNOWN,1600.0,Villa,Noida,4800000.0
2.0,₹90 Lac,"₹4,50,000",Noida Extension,1188.0,1080,7575.0,2.0,0.0,Ready to move,None,Resale,14,Furnished,D-143.,East,Himalaya Pride,1188.0,Multistorey Apartment,Noida,9000000.0
3.0,₹1.45 Cr,Not specified,Eta 2,1285.0,1055,11284.0,3.0,3.0,Ready to move,None,Resale,1,Unfurnished,135,Not Specified,UNKNOWN,1285.0,Multistorey Apartment,Noida,14500000.0
2.0,₹70 Lac,Not specified,Noida Extension,1150.0,1150,6086.0,2.0,4.0,Ready to move,Study Room,Resale,14,Not Specified,B 1404.,East,Aims Green Avenue,1150.0,Multistorey Apartment,Noida,7000000.0
3.0,₹1.18 Cr,Not specified,Noida Extension,1385.0,1137,8519.0,2.0,0.0,Ready to move,None,Resale,7,Unfurnished,Noida Extension,North - West,Ajnara Homes Phase II,1385.0,Multistorey Apartment,Noida,11800000.0
4.0,₹1.65 Cr,"₹8,27,777",Noida Extension,1730.0,1300,9537.0,4.0,4.0,Ready to move,Store Room,Resale,11,Unfurnished,Noida Extension,South - East,Amrapali Leisure Park,1730.0,Multistorey Apartment,Noida,16500000.0
2.0,₹85 Lac,"₹4,25,000",Zeta,1050.0,862,8095.0,2.0,2.0,Ready to move,None,Resale,1,Furnished,Zeta,North - East,Ace Platinum,1050.0,Multistorey Apartment,Noida,8500000.0
3.0,₹91.8 Lac,Not specified,Omicron 3,1595.0,1490,5755.0,3.0,2.0,Ready to move,Study Room,Resale,7,Unfurnished,707. Migsun Ultimo Omicron 2 Greater Noida,North - West,Migsun Ultimo,1595.0,Multistorey Apartment,Noida,9180000.0
2.0,₹86 Lac,"₹4,30,000",Noida Extension,1040.0,853,8269.0,2.0,2.0,Ready to move,None,Resale,19,Unfurnished,Tower H,South - East,UNKNOWN,1040.0,Multistorey Apartment,Noida,8600000.0
3.0,₹1.28 Cr,Not specified,Eta 2,1285.0,1055,9961.0,3.0,3.0,Ready to move,Study Room,Resale,1,Unfurnished,Near noida metro depot station.,North,SKA Metro Ville,1285.0,Multistorey Apartment,Noida,12800000.0
2.0,₹85 Lac,Not specified,Noida Extension,1039.0,853,8180.0,2.0,0.0,Ready to move,None,Resale,20,Semi-Furnished,Noida Extension,Not Specified,Arihant Ambar,1039.0,Multistorey Apartment,Noida,8500000.0
3.0,₹1.1 Cr,"₹5,50,000",Noida Extension,1340.0,1340,8208.0,2.0,5.0,Ready to move,None,Resale,1,Semi-Furnished,Noida Extension,South,Exotica Dreamville Arcade,1340.0,Multistorey Apartment,Noida,11000000.0
3.0,₹1.1 Cr,"₹5,50,000",Pi 2,2100.0,1702,5238.0,3.0,0.0,Ready to move,Servant Room,Resale,7,Not Specified,Unitech Habitat Plot Number 9 Alistonia Estate Sector PI II Greater Noida,North,Unitech Habitat,2100.0,Multistorey Apartment,Noida,11000000.0
3.0,₹97 Lac,Not specified,Noida Extension,1160.0,684,8362.0,2.0,4.0,Ready to move,None,Resale,18,Unfurnished,Noida Extension,East,Arihant Abode,1160.0,Multistorey Apartment,Noida,9700000.0
3.0,₹1.19 Cr,Not specified,Omicron 3,1595.0,1309,7460.0,3.0,2.0,Ready to move,None,Resale,7,Semi-Furnished,Omicron 3,East,Migsun Ultimo,1595.0,Multistorey Apartment,Noida,11900000.0
3.0,₹85 Lac,Not specified,Eta 2,1005.0,989,8457.0,2.0,3.0,Ready to move,None,New Property,10,Semi-Furnished,1006.,Not Specified,SKA Metro Ville,1005.0,Multistorey Apartment,Noida,8500000.0
4.0,₹1.5 Cr,Not specified,Sigma 4,1830.0,1502,8196.0,5.0,2.0,Ready to move,Store Room,Resale,3,Semi-Furnished,Sigma 4,East,Stellar Sigma Apartments,1830.0,Multistorey Apartment,Noida,15000000.0
3.0,₹2.3 Cr,"₹11,50,000",Noida Extension,2710.0,2570,8487.0,4.0,3.0,Ready to move,Servant Room,Resale,13,Unfurnished,Mahagun mantra 2 Noida Extension Greater Noida West,North - East,Mahagun Mantra 2,2710.0,Multistorey Apartment,Noida,23000000.0
4.0,₹3.3 Cr,Not specified,Zeta,3008.0,2900,10970.0,5.0,3.0,Ready to move,None,Resale,Not specified,Semi-Furnished,Zeta 1 Greater Noida,East,UNKNOWN,3008.0,Villa,Noida,33000000.0
3.0,₹90.3 Lac,"₹4,51,400",Noida Extension,1920.0,1820,4703.0,3.0,0.0,Ready to move,Store Room,Resale,Not specified,Unfurnished,Chipyana buzurg Noida extension Greater Noida West,East,UNKNOWN,1920.0,Villa,Noida,9030000.0
3.0,₹1.2 Cr,"₹6,00,000",Pi 2,2100.0,1700,5714.0,4.0,3.0,Ready to move,Store Room,Resale,9,Not Specified,unitech habitat,North - West,Unitech Habitat,2100.0,Multistorey Apartment,Noida,12000000.0
2.0,₹60 Lac,Not specified,Sector 16,850.0,750,7058.0,2.0,0.0,Ready to move,None,Resale,1,Unfurnished,Vrindavan garden sec 16 b chipiyana buzurg,East,UNKNOWN,850.0,Residential House,Noida,6000000.0
3.0,₹98 Lac,"₹4,90,000",Noida Extension,1115.0,850,8789.0,2.0,3.0,Ready to move,None,New Property,13,Semi-Furnished,Amrapali Golf Homes Sec 4 Greater Noida,North,Amrapali Golf Homes,1115.0,Multistorey Apartment,Noida,9800000.0
3.0,₹87 Lac,"₹4,35,000",Noida Extension,1127.0,1027,7719.0,2.0,3.0,Ready to move,None,Resale,19,Furnished,Noida extension Himalaya Pride Greater Noida West,East,Himalaya Pride,1127.0,Multistorey Apartment,Noida,8700000.0
4.0,₹3.18 Cr,Not specified,Noida Extension,2550.0,1645,12470.0,5.0,0.0,Ready to move,None,Resale,19,Semi-Furnished,12192.,North - East,ATS Destinaire,2550.0,Multistorey Apartment,Noida,31800000.0
2.0,₹89 Lac,Not specified,Chi 5,1114.0,914,7989.0,2.0,3.0,Ready to move,Study Room,Resale,1,Furnished,Chi 5,Not Specified,Nimbus Express Park View 2,1114.0,Multistorey Apartment,Noida,8900000.0
3.0,₹75 Lac,Not specified,Omega 1,1425.0,1170,5263.0,3.0,3.0,Not specified,None,Resale,5,Unfurnished,Omega 1,Not Specified,Today Kings Park,1425.0,Multistorey Apartment,Noida,7500000.0
2.0,₹7.5 Lac,Not specified,Noida Extension,1370.0,1370,547.0,2.0,0.0,Ready to move,None,Resale,8,Unfurnished,8th Floor,Not Specified,Shree Sky Plaza,1370.0,Multistorey Apartment,Noida,750000.0
3.0,₹2.15 Cr,"₹10,75,000",Noida Extension,1760.0,1445,12215.0,3.0,3.0,Not specified,None,Resale,8,Semi-Furnished,Sector 1,Not Specified,Arihant One,1760.0,Multistorey Apartment,Noida,21500000.0
3.0,₹1.11 Cr,"₹5,55,000",Noida Extension,1270.0,1042,8740.0,2.0,4.0,Not specified,None,Resale,10,Semi-Furnished,Noida Extension,Not Specified,Arihant Abode,1270.0,Multistorey Apartment,Noida,11100000.000000002
3.0,₹2 Cr,Not specified,Noida Extension,1806.0,1482,11074.0,3.0,0.0,Not specified,None,Resale,8,Semi-Furnished,Noida Extension,Not Specified,Palm Olympia Phase II,1806.0,Multistorey Apartment,Noida,20000000.0
2.0,₹85 Lac,"₹4,25,000",Sector 16C,1125.0,845,7555.0,2.0,3.0,Ready to move,None,Resale,7,Semi-Furnished,Gaur City 2,South -West,Wall Rock Aishwaryam,1125.0,Multistorey Apartment,Noida,8500000.0
3.0,₹1.68 Cr,"₹8,40,000",Yamuna Expressway,2100.0,1724,8000.0,3.0,3.0,Ready to move,Store Room,New Property,2,Unfurnished,Sector 22a yamuna expressway,East,Nimbus The Palm Village,2100.0,Multistorey Apartment,Noida,16800000.0
3.0,₹1.05 Cr,"₹5,25,000",Noida Extension,1441.0,1098,7286.0,3.0,0.0,Ready to move,Store Room,Resale,14,Unfurnished,Kishore Sharma,East,Stellar Jeevan,1441.0,Multistorey Apartment,Noida,10500000.0
2.0,₹61.5 Lac,"₹3,07,500",Yamuna Expressway,790.0,648,7784.0,2.0,2.0,Ready to move,None,Resale,10,Semi-Furnished,sector 22D,North - East,Oasis Grandstand,790.0,Multistorey Apartment,Noida,6150000.0
4.0,₹1.1 Cr,"₹5,50,000",Noida Extension,1875.0,1800,5866.0,3.0,2.0,Ready to move,Store Room,Resale,Not specified,Unfurnished,chipyana bujurg behind SKS world school,East,UNKNOWN,1875.0,Villa,Noida,11000000.0
2.0,₹95 Lac,"₹4,75,000",Noida Extension,995.0,550,9547.0,2.0,3.0,Ready to move,None,Resale,13,Furnished,Ajnara Le Garden,South - East,Ajnara Le Garden,995.0,Multistorey Apartment,Noida,9500000.0
3.0,₹62 Lac,Not specified,Noida Extension,1255.0,1030,4940.0,3.0,0.0,Ready to move,None,Resale,21,Semi-Furnished,Noida Extension,North - East,Supertech Eco Village 3,1255.0,Multistorey Apartment,Noida,6200000.0
3.0,₹1.75 Cr,Not specified,Pari Chowk,2180.0,1790,8027.0,3.0,0.0,Ready to move,None,Resale,5,Semi-Furnished,Pari Chowk,Not Specified,UNKNOWN,2180.0,Multistorey Apartment,Noida,17500000.0
2.0,₹77.5 Lac,"₹3,87,500",Sector 16C,1060.0,870,7311.0,2.0,0.0,Ready to move,Servant Room,Resale,22,Semi-Furnished,Sector 16C,East,Wall Rock Aishwaryam,1060.0,Multistorey Apartment,Noida,7750000.0
2.0,₹50 Lac,Not specified,Sector 4,910.0,747,5494.0,2.0,0.0,Ready to move,None,Resale,5,Unfurnished,noida extension,East,Gaursons Gaur City 4th Avenue,910.0,Multistorey Apartment,Noida,5000000.0
2.0,₹70 Lac,"₹3,50,000",Noida Extension,945.0,775,7407.0,2.0,2.0,Ready to move,Study Room,Resale,10,Unfurnished,M5-1002.,North,Amrapali Golf Homes,945.0,Multistorey Apartment,Noida,7000000.0
3.0,₹1 Cr,"₹5,00,000",Sector 16,1235.0,865,8097.0,2.0,4.0,Ready to move,None,Resale,12,Semi-Furnished,Gaur City 2,North - East,Mahagun Mywoods Phase III,1235.0,Multistorey Apartment,Noida,10000000.0
2.0,₹25 Lac,Not specified,Chauganpur,750.0,615,3333.0,2.0,0.0,Ready to move,None,Resale,3,Furnished,Knowledge Park 5,Not Specified,Imperia Residency,750.0,Multistorey Apartment,Noida,2500000.0
2.0,₹80 Lac,"₹4,00,000",Yamuna Expressway,1221.0,915,6552.0,2.0,3.0,Ready to move,Study Room,Resale,5,Unfurnished,Yamuna Expressway,East,Skyline Speedway Avenue,1221.0,Multistorey Apartment,Noida,8000000.0
2.0,₹70 Lac,Not specified,Eta 2,1189.0,976,5887.0,2.0,2.0,Ready to move,None,Resale,15,Furnished,Eta 2,East,Ansal Sushant Serene Residency,1189.0,Multistorey Apartment,Noida,7000000.0
3.0,₹2.05 Cr,"₹10,25,000",Noida Extension,1695.0,1425,12094.0,4.0,5.0,Ready to move,Servant Room,Resale,5,Semi-Furnished,Noida Extension,East,Greenarch Retail Shops,1695.0,Multistorey Apartment,Noida,20500000.0
3.0,₹56 Lac,"₹2,80,000",Greater Noida,1635.0,1342,3425.0,3.0,0.0,Ready to move,Store Room,Resale,Not specified,Semi-Furnished,Greater Noida,West,UNKNOWN,1635.0,Villa,Noida,5600000.0
2.0,₹52 Lac,Not specified,Eta 2,860.0,507,6046.0,2.0,2.0,Ready to move,None,New Property,6,Unfurnished,sector- Eta 2,Not Specified,Migsun Vilaasa,860.0,Multistorey Apartment,Noida,5200000.0
2.0,₹95 Lac,Not specified,Noida Extension,1350.0,1100,7037.0,2.0,4.0,Ready to move,Study Room,Resale,10,Unfurnished,Noida Extension,East,Panchsheel Greens 2,1350.0,Multistorey Apartment,Noida,9500000.0
2.0,₹85 Lac,Not specified,Gautam Budh Nagar,1270.0,712,6692.0,2.0,4.0,Ready to move,Store Room,Resale,21,Unfurnished,H-2263,Not Specified,Gaur Yamuna City,1270.0,Multistorey Apartment,Noida,8500000.0
3.0,₹85 Lac,Not specified,Sector 4,1115.0,741,7623.0,2.0,3.0,Ready to move,None,Resale,17,Unfurnished,Amrapali Kingswood,South - East,Amrapali Kingswood,1115.0,Multistorey Apartment,Noida,8500000.0
2.0,₹98 Lac,Not specified,Gaur City 2,1290.0,776,7596.0,2.0,3.0,Ready to move,Study Room,Resale,19,Semi-Furnished,Tower J 16th Avenue Gaur City 2,East,UNKNOWN,1290.0,Multistorey Apartment,Noida,9800000.0
2.0,₹90 Lac,Not specified,Sector 1,1090.0,895,8256.0,2.0,2.0,Ready to move,None,Resale,24,Semi-Furnished,ace city,Not Specified,UNKNOWN,1090.0,Multistorey Apartment,Noida,9000000.0
2.0,₹1.1 Cr,"₹5,50,000",Tech Zone,1500.0,1055,7333.0,2.0,2.0,Ready to move,None,Resale,4,Semi-Furnished,C29Ground Floor,South -West,Amrapali Centurian Park,1500.0,Multistorey Apartment,Noida,11000000.0
2.0,₹70 Lac,"₹3,50,000",Noida Extension,1106.0,908,6329.0,2.0,3.0,Ready to move,None,Resale,6,Unfurnished,Noida Extension,East,Supertech Eco Village,1106.0,Multistorey Apartment,Noida,7000000.0
2.0,₹1.35 Cr,"₹6,75,000",Zeta,1507.0,1237,8958.0,2.0,2.0,Ready to move,None,Resale,Not specified,Semi-Furnished,paramount golf foreste,Not Specified,UNKNOWN,1507.0,Villa,Noida,13500000.0
2.0,₹72 Lac,"₹3,60,000",Yamuna Expressway,990.0,990,7272.0,2.0,3.0,Ready to move,None,Resale,22,Unfurnished,Yamuna Expressway,Not Specified,Jaypee Aman 3,990.0,Multistorey Apartment,Noida,7200000.0
3.0,₹1.6 Cr,"₹8,00,000",Noida Extension,1579.0,1296,10132.0,3.0,4.0,Ready to move,None,Resale,4,Unfurnished,Noida Extension,Not Specified,Nirala Aspire Phase 4,1579.0,Multistorey Apartment,Noida,16000000.0
3.0,₹1.6 Cr,"₹8,00,000",Noida Extension,1350.0,1108,11851.0,2.0,2.0,Ready to move,None,Resale,23,Unfurnished,gc 7 th Avenue,Not Specified,UNKNOWN,1350.0,Multistorey Apartment,Noida,16000000.0
3.0,₹75 Lac,Not specified,Amrapali Dream Valley,1545.0,1268,4854.0,3.0,4.0,Ready to move,Study Room,Resale,13,Semi-Furnished,Amrapali Dream Valley,East,La Residentia,1545.0,Multistorey Apartment,Noida,7500000.0
2.0,₹95 Lac,Not specified,Noida Extension,1255.0,1255,7569.0,2.0,2.0,Ready to move,None,Resale,5,Unfurnished,Noida Extension,North - East,NCR Monarch,1255.0,Multistorey Apartment,Noida,9500000.0
2.0,₹78 Lac,"₹3,90,000",Noida Extension,925.0,690,8432.0,2.0,2.0,Ready to move,None,Resale,4,Unfurnished,Galaxy north avenue -2,East,Gaur City 2 7th Avenue,925.0,Multistorey Apartment,Noida,7800000.0
2.0,₹35 Lac,Not specified,Yamuna Expressway,900.0,739,3888.0,2.0,3.0,Ready to move,None,Resale,1,Semi-Furnished,Sec-17A,Not Specified,Supertech Up Country,900.0,Multistorey Apartment,Noida,3500000.0
2.0,₹70 Lac,Not specified,Noida Extension,990.0,812,7070.0,2.0,2.0,Ready to move,Study Room,New Property,5,Unfurnished,Amrapali Tropical Garden,North,UNKNOWN,990.0,Multistorey Apartment,Noida,7000000.0
3.0,₹95 Lac,Not specified,Omicron 1,1500.0,1500,6333.0,3.0,2.0,Ready to move,None,Resale,4,Unfurnished,Omicron 1,Not Specified,sankalp apartment,1500.0,Multistorey Apartment,Noida,9500000.0
2.0,₹70 Lac,"₹3,50,000",Noida Extension,875.0,718,8000.0,2.0,2.0,Ready to move,None,Resale,17,Semi-Furnished,Noida Extension,West,Ajnara Le Garden,875.0,Multistorey Apartment,Noida,7000000.0
4.0,₹3 Cr,"₹15,00,000",Noida Extension,2755.0,2262,10889.0,4.0,6.0,Not specified,None,Resale,10,Furnished,Noida Extension,North - East,Eldeco La Vida Bella,2755.0,Multistorey Apartment,Noida,30000000.0
3.0,₹1.95 Cr,Not specified,Zeta 1,1800.0,1478,10833.0,3.0,0.0,Ready to move,None,Resale,26,Furnished,Zeta 1,North - East,ATS Dolce,1800.0,Multistorey Apartment,Noida,19500000.0
3.0,₹95 Lac,Not specified,Omicron 1,2121.0,2121,4479.0,3.0,2.0,Ready to move,None,Resale,4,Unfurnished,Omicron 1,Not Specified,sankalp apartment,2121.0,Multistorey Apartment,Noida,9500000.0
4.0,₹2 Cr,Not specified,Pari Chowk,2701.0,1837,7404.0,3.0,3.0,Ready to move,None,Resale,6,Semi-Furnished,Greenwoods Ph -1 Extension,North,UNKNOWN,2701.0,Multistorey Apartment,Noida,20000000.0
2.0,₹49 Lac,Not specified,Yamuna Expressway,1000.0,821,4900.0,2.0,0.0,Ready to move,None,Resale,14,Unfurnished,Supertech Golf Village,Not Specified,Greenbay Golf Village,1000.0,Multistorey Apartment,Noida,4900000.0
3.0,₹1 Cr,Not specified,Omicron 1,1500.0,1500,6666.0,3.0,2.0,Ready to move,None,Resale,4,Semi-Furnished,101.,Not Specified,sankalp apartment,1500.0,Multistorey Apartment,Noida,10000000.0
3.0,₹1.07 Cr,Not specified,Greater Noida,1385.0,1385,7725.0,3.0,4.0,Ready to move,None,Resale,19,Semi-Furnished,Greater Noida,East,UNKNOWN,1385.0,Multistorey Apartment,Noida,10700000.0
2.0,₹65 Lac,"₹3,25,000",Tech Zone,975.0,800,6666.0,2.0,2.0,Not specified,None,Resale,27,Unfurnished,Tech Zone,Not Specified,UNKNOWN,975.0,Multistorey Apartment,Noida,6500000.0
3.0,₹1.3 Cr,Not specified,Techzone 4,1335.0,1096,9737.0,2.0,4.0,Ready to move,None,Resale,16,Semi-Furnished,Techzone 4,East,Nirala Estate Phase 1,1335.0,Multistorey Apartment,Noida,13000000.0
2.0,₹36 Lac,"₹1,80,000",Noida Extension,1200.0,1010,3000.0,2.0,0.0,Ready to move,None,Resale,1,Semi-Furnished,Noida Extension,North,UNKNOWN,1200.0,Builder Floor Apartment,Noida,3600000.0
4.0,₹1.65 Cr,"₹8,25,000",Pi 2,2475.0,1800,6666.0,5.0,3.0,Ready to move,Store Room,Resale,5,Semi-Furnished,PI 2,North - East,Unitech Cascade,2475.0,Multistorey Apartment,Noida,16500000.0
2.0,₹75 Lac,"₹3,75,000",Yamuna Expressway,1200.0,985,6250.0,2.0,3.0,Ready to move,None,Resale,6,Semi-Furnished,Yamuna Expressway,East,Home and Soul Beetle Lap,1200.0,Multistorey Apartment,Noida,7500000.0
3.0,₹43 Lac,Not specified,Phi 4,1230.0,1010,3495.0,2.0,2.0,Ready to move,None,Resale,2,Unfurnished,Phi 4,East,Samiah Vrinda City,1230.0,Multistorey Apartment,Noida,4300000.0
3.0,₹1.1 Cr,Not specified,Alpha 1,1200.0,1200,9166.0,2.0,2.0,Ready to move,None,Resale,4,Furnished,Alpha 1,Not Specified,Harmukh Apartment,1200.0,Multistorey Apartment,Noida,11000000.0
3.0,₹1.1 Cr,Not specified,F Tower,1340.0,780,8208.0,2.0,3.0,Ready to move,None,Resale,14,Unfurnished,F tower,South,UNKNOWN,1340.0,Multistorey Apartment,Noida,11000000.0
4.0,₹95 Lac,"₹4,75,000",Noida Extension,1695.0,1450,5604.0,5.0,4.0,Ready to move,None,New Property,10,Unfurnished,Noida Extension,East,Sikka Kaamya Greens,1695.0,Multistorey Apartment,Noida,9500000.0
2.0,₹65 Lac,Not specified,Eta 2,1060.0,870,6132.0,2.0,3.0,Ready to move,None,New Property,15,Unfurnished,Eta 2,Not Specified,Migsun Twiinz,1060.0,Multistorey Apartment,Noida,6500000.0
2.0,₹88 Lac,Not specified,Noida Extension,1100.0,780,8000.0,2.0,3.0,Not specified,Study Room,Resale,8,Unfurnished,GH-02,East,Amrapali Verona Heights,1100.0,Multistorey Apartment,Noida,8800000.0
3.0,₹1.67 Cr,Not specified,Noida Extension,2020.0,2020,8267.0,3.0,3.0,Not specified,Store Room,Resale,18,Semi-Furnished,Noida Extension,Not Specified,Stellar One Phase 2,2020.0,Multistorey Apartment,Noida,16700000.0
3.0,₹2 Cr,Not specified,Noida Extension,1760.0,1445,11363.0,3.0,4.0,Not specified,None,Resale,6,Unfurnished,Greater Noida West,East,Arihant One,1760.0,Multistorey Apartment,Noida,20000000.0
2.0,₹90 Lac,"₹4,50,000",Noida Extension,1185.0,1185,7594.0,2.0,2.0,Ready to move,Study Room,Resale,14,Furnished,Noida Extension,Not Specified,Nirala Greenshire Phase II,1185.0,Multistorey Apartment,Noida,9000000.0
4.0,₹1.7 Cr,Not specified,Eta 2,1670.0,1371,10179.0,4.0,3.0,Ready to move,None,Resale,23,Semi-Furnished,Eta 2,North - West,SKA Metro Ville,1670.0,Multistorey Apartment,Noida,17000000.0
3.0,₹1.75 Cr,Not specified,Omicron 3,1875.0,1539,9333.0,3.0,3.0,Ready to move,Servant Room,Resale,4,Unfurnished,Omicron 3,Not Specified,Uppal Plumeria Garden Estate,1875.0,Multistorey Apartment,Noida,17500000.0
2.0,₹97 Lac,Not specified,Noida Extension,1250.0,1026,7760.0,2.0,2.0,Not specified,Study Room,New Property,17,Furnished,Sector 1,South - East,Unibera Homes,1250.0,Multistorey Apartment,Noida,9700000.0
4.0,₹2 Cr,Not specified,Chi 5,1957.0,1606,10219.0,4.0,4.0,Ready to move,Servant Room,Resale,19,Not Specified,1912,East,Purvanchal Royal City,1957.0,Multistorey Apartment,Noida,20000000.0
2.0,₹90 Lac,"₹4,50,000",Noida Extension,891.0,731,10101.0,2.0,2.0,Ready to move,None,Resale,17,Unfurnished,A3-1706,East,ABA Corp Cherry County,891.0,Multistorey Apartment,Noida,9000000.0
2.0,₹92 Lac,Not specified,Sector 1 Greater Noida West,995.0,817,9246.0,2.0,3.0,Ready to move,None,Resale,14,Semi-Furnished,sector 1 greater Noida west,East,UNKNOWN,995.0,Multistorey Apartment,Noida,9200000.0
2.0,₹42 Lac,Not specified,Yamuna Expressway,1150.0,944,3652.0,2.0,2.0,Not specified,None,Resale,2,Semi-Furnished,Mrs Singh,East,UNKNOWN,1150.0,Multistorey Apartment,Noida,4200000.0
2.0,₹90 Lac,Not specified,Zeta,1200.0,985,7500.0,2.0,2.0,Ready to move,None,Resale,11,Semi-Furnished,Zeta,Not Specified,AVJ Heights,1200.0,Multistorey Apartment,Noida,9000000.0
2.0,₹40 Lac,"₹2,00,000",Gautam Budh Nagar,900.0,700,4444.0,2.0,2.0,Ready to move,None,Resale,5,Semi-Furnished,Yamuna Expressway,Not Specified,Supertech Up Country,900.0,Multistorey Apartment,Noida,4000000.0
3.0,₹75 Lac,"₹3,75,000",Noida Extension,1671.0,1372,4488.0,2.0,4.0,Ready to move,None,Resale,7,Semi-Furnished,Plot-10B,South - East,Himalaya Pride,1671.0,Multistorey Apartment,Noida,7500000.0
2.0,₹82 Lac,"₹4,10,000",Noida Extension,995.0,817,8241.0,2.0,3.0,Ready to move,None,Resale,9,Semi-Furnished,sec 1,East,Arihant Ambar,995.0,Multistorey Apartment,Noida,8200000.0
3.0,₹1.72 Cr,"₹8,60,000",Noida Extension,1625.0,1334,10584.0,3.0,4.0,Not specified,Servant Room,Resale,21,Unfurnished,sector 1 greater noida west,Not Specified,UNKNOWN,1625.0,Multistorey Apartment,Noida,17200000.0
3.0,₹95 Lac,Not specified,Noida Extension,1340.0,1100,7089.0,3.0,0.0,Ready to move,None,Resale,15,Furnished,15.,North - East,Raksha Addela,1340.0,Multistorey Apartment,Noida,9500000.0
3.0,₹1.41 Cr,Not specified,Techzone 4,1385.0,850,10180.0,2.0,4.0,Ready to move,None,Resale,21,Semi-Furnished,Tower T32,South -West,Nirala Estate Phase III,1385.0,Multistorey Apartment,Noida,14100000.0
3.0,₹84 Lac,Not specified,Eta 2,1250.0,1026,6720.0,3.0,4.0,Ready to move,None,Resale,6,Unfurnished,Eta-2,East,Migsun Twiinz,1250.0,Multistorey Apartment,Noida,8400000.0
4.0,₹1.8 Cr,Not specified,Omicron 1,1665.0,1367,10810.0,3.0,4.0,Ready to move,None,Resale,11,Unfurnished,Omicron 1,Not Specified,Gaur Atulyam Gravity,1665.0,Multistorey Apartment,Noida,18000000.0
3.0,₹48 Lac,"₹2,40,000",Jalpura,1500.0,1396,3200.0,2.0,0.0,Not specified,Study Room,New Property,1,Semi-Furnished,Jalpura,North - East,Krishna Elite,1500.0,Multistorey Apartment,Noida,4800000.0
3.0,₹2.1 Cr,"₹10,50,000",Noida Extension,1897.0,1557,11070.0,3.0,6.0,Ready to move,Servant Room,Resale,8,Not Specified,Gh-04 techzone -4 gr. Noida west u. P,North - East,Nirala Estate Phase 4,1897.0,Multistorey Apartment,Noida,21000000.0
2.0,₹90 Lac,"₹4,50,000",Noida Extension,1033.0,827,8712.0,2.0,3.0,Ready to move,None,Resale,3,Unfurnished,Noida Extension,East,Panchsheel Hynish,1033.0,Multistorey Apartment,Noida,9000000.0
2.0,₹85 Lac,"₹4,25,000",Techzone 4,1225.0,1005,6938.0,2.0,4.0,Not specified,Study Room,Resale,13,Unfurnished,Techzone 4,North,Mangalya Novena Green,1225.0,Multistorey Apartment,Noida,8500000.0
5.0,₹1.5 Cr,Not specified,Gautam Budh Nagar,2300.0,1888,6521.0,4.0,3.0,Ready to move,None,Resale,Not specified,Semi-Furnished,Gautam budh nagar,North - East,UNKNOWN,2300.0,Villa,Noida,15000000.0
3.0,₹1 Cr,Not specified,Noida Extension,1340.0,1250,7462.0,3.0,3.0,Ready to move,None,Resale,1,Unfurnished,Noida Extension,Not Specified,Raksha Addela,1340.0,Multistorey Apartment,Noida,10000000.0
2.0,₹1 Cr,"₹5,00,000",Techzone 4,1115.0,915,8968.0,2.0,4.0,Not specified,None,Resale,18,Unfurnished,techzone4 noida extension,North - East,Mangalya Novena Green,1115.0,Multistorey Apartment,Noida,10000000.0
2.0,₹79 Lac,"₹3,95,000",Noida Extension,1063.0,617,7431.0,2.0,3.0,Ready to move,None,Resale,15,Semi-Furnished,Noida Extension,South - East,Ratan Pearls,1063.0,Multistorey Apartment,Noida,7900000.0
2.0,₹83 Lac,"₹4,15,000",Techzone 4,955.0,784,8691.0,2.0,3.0,Ready to move,Store Room,Resale,17,Furnished,Techzone 4,North - East,Nirala Estate Phase 1,955.0,Multistorey Apartment,Noida,8300000.0
2.0,₹37.2 Lac,Not specified,Eta 1,1115.0,915,3336.0,2.0,0.0,Ready to move,None,Resale,Not specified,Semi-Furnished,Sector Eta 1,Not Specified,Vardhman Eta Residency,1115.0,Multistorey Apartment,Noida,3720000.0000000005
3.0,₹89 Lac,"₹4,45,000",Sector 10,1965.0,1965,4529.0,3.0,0.0,Not specified,None,Resale,Not specified,Unfurnished,sector -10 greater noida west,Not Specified,UNKNOWN,1965.0,Villa,Noida,8900000.0
